playerID,sport,position,start_year,start_age,years_played
Javin Hunter,NFL,2,1996,16,4
Richard Huntley,NFL,4,1996,24,4
Todd Husak,NFL,1,2000,22,1
Randy Hymes,NFL,2,2002,23,4
Dou Innocent,NFL,4,1996,24,1
Trevor Insley,NFL,2,2001,24,1
Darwin Ireland,NFL,3,1994,23,2
Qadry Ismail,NFL,2,1993,23,10
John Ivlow,NFL,4,1993,23,1
Mortty Ivy,NFL,3,2001,15,9
Brian Iwuh,NFL,3,2006,22,6
Larry Izzo,NFL,3,1996,22,14
Brad Jackson,NFL,3,1994,19,1
Chris Jackson,NFL,2,1994,19,1
Curtis Jackson,NFL,2,1994,21,1
Jack Jackson,NFL,2,1994,22,1
James Jackson,NFL,4,1994,18,1
Willie Jackson,NFL,2,1994,23,1
Ray Jacobs,NFL,3,1994,22,1
Nate Jacquet,NFL,2,1994,19,1
Lestar Jean,NFL,2,2011,23,3
Rashad Jeanty,NFL,3,2011,28,3
Patrick Jeffers,NFL,2,1983,10,15
Kevin Jefferson,NFL,3,1983,9,15
Brandon Joiner,NFL,3,2013,24,1
Akeem Jordan,NFL,3,2007,22,7
Antony Jordan,NFL,3,2007,33,7
James Jordan,NFL,2,2007,29,7
Kevin Jordan,NFL,2,2007,35,7
LaMont Jordan,NFL,4,2007,29,7
Randy Jordan,NFL,4,2007,37,7
Richard Jordan,NFL,3,2007,33,7
Alex Joseph,NFL,3,2010,22,1
Elijah Joseph,NFL,3,2010,22,1
Elvis Joseph,NFL,4,2010,32,1
Keith Joseph,NFL,4,2010,29,1
Steve Josue,NFL,3,2010,30,1
Yonel Jourdain,NFL,4,1994,23,2
Cato June,NFL,3,2003,24,7
Joe Jurevicius,NFL,2,1998,24,10
Kevin Jurovich,NFL,2,1998,12,10
Josh Kaddu,NFL,3,2012,22,2
Colin Kaepernick,NFL,1,2004,17,9
Kevin Kasper,NFL,2,2013,36,1
Brad Kassell,NFL,3,2013,33,1
Napoleon Kaufman,NFL,4,1982,9,12
Muadianvita Kazadi,NFL,3,1997,24,1
Stanford Keglar,NFL,3,2008,23,3
Bryan Kehl,NFL,3,2008,24,6
Freddie Keiaho,NFL,3,2006,24,4
Kenton Keith,NFL,4,2006,26,4
Jeff Kelly,NFL,3,2011,36,3
Malcolm Kelly,NFL,2,2011,25,3
Todd Kelly,NFL,3,2011,41,3
Chad Kelsay,NFL,3,2011,34,3
Eric Kettani,NFL,4,2012,25,1
Kelvin Kight,NFL,2,1999,17,3
Terry Kirby,NFL,4,2000,30,1
David Kircus,NFL,2,2000,20,1
Jon Kitna,NFL,1,2012,40,2
Kurt Kittner,NFL,1,2012,32,2
Jim Kitts,NFL,4,2012,40,2
Perry Klein,NFL,1,2003,32,6
Jeff Kopp,NFL,3,2011,40,2
Niko Koutouvides,NFL,3,2004,23,9
Clint Kriewaldt,NFL,3,1980,4,19
Ryan LaCasse,NFL,3,2006,23,1
Sean LaChapelle,NFL,2,2006,36,1
Anthony Ladd,NFL,2,1998,25,1
Eric Lane,NFL,4,1987,13,11
Fred Lane,NFL,4,1987,12,11
Amp Lee,NFL,4,1992,21,9
Charles Lee,NFL,2,1992,15,9
Kevin Lee,NFL,2,1992,21,9
ReShard Lee,NFL,4,1992,12,9
Burnie Legette,NFL,4,1993,23,2
Teddy Lehman,NFL,3,2003,22,6
Ashley Lelie,NFL,2,2002,22,7
Phillip Livas,NFL,2,2011,22,1
