player_ID,sport,position,start_year,start_age,years_played
Jackie Dinkins,NBA,F,1972,43,1
Spencer Dinwiddie,NBA,G,2015,48,4
DeSagana Diop,NBA,C,2002,25,12
Terry Dischinger,NBA,multi,1963,36,11
Fred Diute,NBA,G,1955,36,1
Vlade Divac,NBA,C,1990,33,16
Aleksandar Djordjevic,NBA,G,1997,32,1
Earl Dodd,NBA,F,1950,24,1
Michael Doleac,NBA,C,1999,19,10
James Donaldson,NBA,C,1981,33,15
Keyon Dooling,NBA,G,2001,37,13
Jacky Dorsey,NBA,F,1978,22,4
Tyler Dorsey,NBA,G,2018,32,1
Damyean Dotson,NBA,G,2018,31,1
Bruce Douglas,NBA,G,1987,38,1
Sherman Douglas,NBA,G,1990,40,12
Chris Douglas-Roberts,NBA,G,2009,43,7
Zabian Dowdell,NBA,G,2011,49,1
Steve Downing,NBA,C,1974,20,2
Goran Dragic,NBA,G,2009,47,10
Zoran Dragic,NBA,multi,2015,42,1
Greg Dreiling,NBA,C,1987,40,11
Bryce Drew,NBA,G,1999,24,6
John Drew,NBA,multi,1975,21,11
Clyde Drexler,NBA,G,1984,20,15
Nate Driggers,NBA,G,1997,47,1
Predrag Drobnjak,NBA,C,2002,17,4
Ralph Drollinger,NBA,C,1981,25,1
Jared Dudley,NBA,multi,2008,45,11
Bob Duffy,NBA,G,1963,41,3
Chris Duhon,NBA,G,2005,29,9
Richard Dumas,NBA,F,1993,38,4
Tim Duncan,NBA,multi,1998,40,19
Mike Dunleavy,NBA,G,1977,28,14
Kris Dunn,NBA,G,2017,57,2
T.R. Dunn,NBA,multi,1978,26,14
Kevin Durant,NBA,multi,2008,49,11
John Duren,NBA,G,1981,51,3
Pat Durham,NBA,F,1993,27,3
Devin Durrant,NBA,F,1985,39,2
Dennis DuVal,NBA,G,1975,48,2
Craig Dykema,NBA,F,1982,39,1
Jerome Dyson,NBA,G,2012,53,1
Jim Eakins,NBA,C,1969,34,10
Acie Earl,NBA,multi,1994,42,4
Mark Eaton,NBA,C,1983,16,11
Devin Ebanks,NBA,F,2011,49,3
Al Eberhard,NBA,F,1975,34,4
Ndudi Ebi,NBA,F,2004,44,2
Jarell Eddie,NBA,multi,2016,45,2
Patrick Eddie,NBA,C,1992,27,1
Tyus Edney,NBA,G,1996,15,6
Bill Edwards,NBA,F,1994,29,1
James Edwards,NBA,multi,1978,17,19
Jay Edwards,NBA,G,1990,57,1
John Edwards,NBA,C,2005,33,2
Kevin Edwards,NBA,G,1989,14,13
Shane Edwards,NBA,F,2014,35,1
Johnny Egan,NBA,G,1962,44,11
Bulbs Ehlers,NBA,multi,1948,26,2
Howard Eisley,NBA,G,1995,40,12
Obinna Ekezie,NBA,multi,2000,32,6
Khalid El-Amin,NBA,G,2001,47,1
Mario Elie,NBA,multi,1991,31,11
Wayne Ellington,NBA,G,2010,40,9
Dale Ellis,NBA,multi,1984,32,17
Harold Ellis,NBA,G,1994,18,5
Joe Ellis,NBA,multi,1967,15,8
LaPhonso Ellis,NBA,F,1993,15,11
Leroy Ellis,NBA,multi,1963,26,14
Monta Ellis,NBA,G,2006,24,12
Len Elmore,NBA,multi,1975,16,10
Francisco Elson,NBA,C,2004,38,9
Andre Emmett,NBA,F,2005,17,8
Alex English,NBA,F,1977,21,15
Scott English,NBA,F,1973,23,3
Tyler Ennis,NBA,G,2015,46,4
Ray Epps,NBA,F,1979,32,1
Keith Erickson,NBA,multi,1966,11,12
Vincenzo Esposito,NBA,G,1996,41,1
Jawun Evans,NBA,G,2018,34,1
Jeremy Evans,NBA,F,2011,16,6
Maurice Evans,NBA,G,2002,13,11
Patrick Ewing,NBA,F,2011,22,1
Christian Eyenga,NBA,F,2011,25,2
Festus Ezeli,NBA,C,2013,32,4
Phil Farbman,NBA,F,1949,28,1
Kenneth Faried,NBA,F,2012,24,7
Jordan Farmar,NBA,G,2007,22,11
Tony Farmer,NBA,F,1998,24,3
Derrick Favors,NBA,multi,2011,49,8
George Feigenbaum,NBA,G,1950,21,4
Kay Felder,NBA,G,2017,40,2
Cristiano Felicio,NBA,multi,2016,18,3
Carrick Felix,NBA,G,2014,29,1
Noel Felix,NBA,F,2006,53,1
Ray Felix,NBA,C,1954,21,9
Raymond Felton,NBA,G,2006,42,13
Rudy Fernandez,NBA,G,2009,43,4
Rolando Ferreira,NBA,C,1989,27,1
Kyrylo Fesenko,NBA,C,2008,35,5
Bobby Fields,NBA,G,1972,44,1
Landry Fields,NBA,F,2011,42,5
Greg Fillmore,NBA,C,1971,23,2
Hank Finkel,NBA,C,1967,44,9
Matt Fish,NBA,C,1995,41,3
Gerald Fitch,NBA,G,2006,25,1
Al Fleming,NBA,F,1978,25,1
Ed Fleming,NBA,multi,1956,17,5
Vern Fleming,NBA,G,1985,10,12
Luis Flores,NBA,G,2005,57,1
Jonny Flynn,NBA,G,2010,25,3
Isaac Fontaine,NBA,G,2002,53,1
Levi Fontaine,NBA,G,1971,19,1
Gary Forbes,NBA,F,2011,29,2
Alphonso Ford,NBA,G,1994,22,2
Alton Ford,NBA,F,2002,19,3
Bob Ford,NBA,F,1973,47,1
Chris Ford,NBA,multi,1973,19,10
Sherell Ford,NBA,F,1996,28,1
T.J. Ford,NBA,G,2004,27,9
Bayard Forrest,NBA,C,1978,18,2
Joseph Forte,NBA,G,2002,21,2
Courtney Fortson,NBA,G,2012,20,1
Fred Foster,NBA,F,1969,29,9
Jeff Foster,NBA,multi,2000,24,13
Rod Foster,NBA,G,1984,35,3
Antonis Fotsis,NBA,F,2002,59,1
Evan Fournier,NBA,multi,2013,44,6
Tremaine Fowlkes,NBA,F,2002,25,4
De'Aaron Fox,NBA,G,2018,53,1
Rick Fox,NBA,multi,1992,43,13
Adonal Foyle,NBA,C,1998,8,12
Tellis Frank,NBA,multi,1988,24,7
Ronald Franz,NBA,F,1968,24,6
Walt Frazier,NBA,G,1968,18,13
World B. Free,NBA,G,1976,31,13
Gary Freeman,NBA,F,1971,22,1
Rod Freeman,NBA,F,1974,54,1
Frido Frey,NBA,F,1947,26,1
Joe Fulks,NBA,multi,1947,25,8
Hiram Fuller,NBA,F,2004,22,1
Tony Fuller,NBA,G,1981,35,1
Markelle Fultz,NBA,G,2018,53,1
Deng Gai,NBA,F,2006,37,1
Elmer Gainer,NBA,multi,1948,21,3
