player_ID,sport,position,retire_year,retire_age,years_played
Steve Burtt,NBA,2,1993,57,9
Don Buse,NBA,2,1985,47,13
David Bustion,NBA,3,1973,-7,1
Donnie Butcher,NBA,2,1966,0,5
Al Butler,NBA,2,1965,-20,4
Caron Butler,NBA,3,2016,27,14
Greg Butler,NBA,1,1991,45,3
Jackie Butler,NBA,0,2007,37,3
Jimmy Butler,NBA,0,2018,39,7
Mike Butler,NBA,2,1972,-17,4
Mitchell Butler,NBA,0,2004,20,11
Rasual Butler,NBA,0,2016,29,14
Dwight Buycks,NBA,2,2015,32,2
Derrick Byars,NBA,3,2012,56,1
Andrew Bynum,NBA,1,2014,91,9
Will Bynum,NBA,2,2015,93,10
,NBA,,nan,nan,nan
Marty Byrnes,NBA,3,1983,48,5
Tommy Byrnes,NBA,0,1951,-44,5
Michael Bytzura,NBA,3,1947,-26,1
Zarko Cabarkapa,NBA,3,2006,44,3
Barney Cable,NBA,3,1964,39,6
Bruno Caboclo,NBA,3,2018,29,4
Jason Caffey,NBA,3,2003,22,8
Michael Cage,NBA,0,2000,34,16
Gerry Calabrese,NBA,2,1952,9,2
Nick Calathes,NBA,2,2015,74,2
Jose Calderon,NBA,2,2018,25,13
Adrian Caldwell,NBA,0,1998,71,9
Jim Caldwell,NBA,1,1969,19,2
Joe Caldwell,NBA,0,1975,6,11
Kentavious Caldwell-Pope,NBA,2,2018,97,5
Bill Calhoun,NBA,0,1955,-11,7
Corky Calhoun,NBA,3,1980,56,8
Demetrius Calip,NBA,2,1992,45,1
Tom Callahan,NBA,2,1947,-23,1
Rick Calloway,NBA,3,1991,17,1
Ernie Calverley,NBA,2,1949,-19,3
Mack Calvin,NBA,2,1981,19,12
Dexter Cambridge,NBA,3,1993,2,1
Marcus Camby,NBA,0,2013,66,17
Elden Campbell,NBA,1,2005,11,15
Tony Campbell,NBA,0,1995,7,11
Isaiah Canaan,NBA,2,2018,74,5
Larry Cannon,NBA,2,1974,-3,5
Clint Capela,NBA,1,2018,80,4
Derrick Caracter,NBA,3,2011,95,1
Frank Card,NBA,3,1973,-3,5
Brian Cardinal,NBA,3,2012,53,12
Howie Carl,NBA,2,1962,18,1
Chet Carlisle,NBA,0,1947,-4,1
Geno Carlisle,NBA,2,2005,86,1
Rick Carlisle,NBA,2,1990,58,6
Don Carlos,NBA,0,1969,-15,1
Al Carlson,NBA,1,1976,59,1
Don Carlson,NBA,0,1951,-10,5
Bob Carney,NBA,2,1955,7,1
Rodney Carney,NBA,3,2011,37,5
Bob Carpenter,NBA,0,1951,-24,2
Antoine Carr,NBA,0,2000,45,16
Austin Carr,NBA,2,1981,30,10
Chris Carr,NBA,2,2001,61,6
Cory Carr,NBA,2,1999,46,1
