Player,sport,position,start_year,start_age,years_played
Mark Fayne\faynema01,Hockey,Defense,2011,23,7
Mark Fistric\fistrma01,Hockey,Defense,2008,21,8
Mark Flood\floodma01,Hockey,Defense,2010,25,3
Mark Fraser\frasema01,Hockey,Defense,2007,20,9
Mark Jankowski\jankoma01,Hockey,Center,2017,22,1
Mark Katic\katicma01,Hockey,Defense,2011,21,1
Mark Letestu\letesma01,Hockey,Center,2010,24,8
Mark Mancari\mancama01,Hockey,Right Wing,2007,21,6
Mark McNeill\mcneima01,Hockey,Right Wing,2016,22,2
Mark Olver\olverma01,Hockey,Center,2011,23,3
Mark Pysyk\pysykma01,Hockey,Defense,2013,21,5
Mark Scheifele\scheima01,Hockey,Center,2012,18,6
Mark Stone\stonema01,Hockey,Right Wing,2013,20,5
Mark Van Guilder\vanguma01,Hockey,Center,2014,30,1
Marko Dano\danoma01,Hockey,Center,2015,20,3
Markus Granlund\granlma01,Hockey,Center,2014,20,4
Markus Hannikainen\hannima01,Hockey,Left Wing,2016,22,2
Markus Nutivaara\nutivma01,Hockey,Defense,2017,22,1
Martin Frk\frkma01,Hockey,Right Wing,2017,23,1
Martin Grenier\grenima01,Hockey,Defense,2007,26,1
Martin Hanzal\hanzama01,Hockey,Center,2008,20,10
Martin Lojek\lojekma01,Hockey,Defense,2007,21,2
Martin Marincin\marinma01,Hockey,Defense,2014,21,4
Bobby Robins\robinbo01,Hockey,Center,2015,33,1
Martins Karsums\karsuma01,Hockey,Right Wing,2009,22,1
Mason Raymond\raymoma01,Hockey,Left Wing,2008,22,10
Mat Clark\clarkma01,Hockey,Defense,2012,21,4
Mathew Barzal\barzama01,Hockey,Center,2017,19,1
Mathew Dumba\dumbama01,Hockey,Defense,2014,19,4
Mathieu Carle\carlema02,Hockey,Defense,2010,22,1
Mathieu Darche\darchma01,Hockey,Left Wing,2007,30,6
Mathieu Perreault\perrema01,Hockey,Center,2010,22,8
Mats Zuccarello\zuccama01,Hockey,Left Wing,2011,23,7
Matt Anderson\anderma01,Hockey,Right Wing,2013,30,1
Matt Bartkowski\bartkma01,Hockey,Defense,2011,22,7
Matt Beleskey\belesma01,Hockey,Left Wing,2009,20,9
Matt Benning\bennima01,Hockey,Defense,2017,22,1
Matt Calvert\calvema01,Hockey,Left Wing,2011,21,7
Matt Campanale\campama01,Hockey,Defense,2011,22,1
Matt Carey\careyma01,Hockey,Left Wing,2014,21,1
Matt D'Agostini\dagosma01,Hockey,Right Wing,2008,21,7
Matt Donovan\donovma01,Hockey,Defense,2012,21,4
Matt Duchene\duchema01,Hockey,Center,2010,19,8
Matt Ellis\ellisma01,Hockey,Left Wing,2007,25,9
Matt Fraser\frasema02,Hockey,Left Wing,2012,21,4
Matt Frattin\frattma01,Hockey,Right Wing,2011,23,5
Matt Gilroy\gilroma01,Hockey,Defense,2010,25,5
Matt Halischuk\halisma01,Hockey,Right Wing,2009,20,8
Matt Hendricks\hendrma01,Hockey,Center,2009,27,9
Matt Hunwick\hunwima01,Hockey,Defense,2008,22,10
Matt IRight Wingin\iRight Winginma01,Hockey,Defense,2013,25,5
Matt Kassian\kassima01,Hockey,Left Wing,2011,24,4
Matt Lashoff\lashoma01,Hockey,Defense,2007,20,5
Matt Lindblad\lindbma01,Hockey,Center,2014,23,2
Matt Martin\martima02,Hockey,Left Wing,2010,20,8
Matt Moulson\moulsma01,Hockey,Left Wing,2008,24,10
Matt Niskanen\niskama01,Hockey,Defense,2008,21,10
Matt Pelech\pelecma01,Hockey,Defense,2009,21,6
Matt Puempel\puempma01,Hockey,Left Wing,2015,22,3
Matt Read\readma01,Hockey,Right Wing,2012,25,6
Matt Smaby\smabyma01,Hockey,Defense,2008,23,4
Matt Taormina\taormma01,Hockey,Defense,2011,24,6
Matt Tennyson\tennyma01,Hockey,Defense,2013,22,5
Matt Watkins\watkima01,Hockey,Right Wing,2012,25,1
Matthew Corrente\correma01,Hockey,Defense,2010,21,2
Matthew Grzelcyk\grzelma01,Hockey,Defense,2017,23,1
Matthew Konan\konanma01,Hockey,Defense,2013,21,1
Matthew Lorito\loritma01,Hockey,Left Wing,2017,26,1
Matthew Nieto\nietoma01,Hockey,Left Wing,2014,21,4
Matthew Peca\pecama01,Hockey,Center,2017,23,1
Matthew Tkachuk\tkachma01,Hockey,Left Wing,2017,19,1
Mattias Ekholm\ekholma01,Hockey,Defense,2012,21,6
Mattias Janmark\janmama02,Hockey,Center,2016,23,1
Mattias Ritola\ritolma01,Hockey,Center,2008,20,5
Mattias Tedenby\tedenma01,Hockey,Left Wing,2011,20,4
Max Domi\domima01,Hockey,Left Wing,2016,20,2
Max Friberg\fribema01,Hockey,Left Wing,2015,22,2
Max McCormick\mccorma01,Hockey,Left Wing,2016,23,2
Max Pacioretty\pacioma01,Hockey,Left Wing,2009,20,9
Max Reinhart\reinhma01,Hockey,Center,2013,20,3
Max Sauve\sauvema01,Hockey,Center,2012,22,1
Maxim Noreau\noreama01,Hockey,Defense,2010,22,2
Maxime Fortunus\fortuma01,Hockey,Defense,2010,26,5
Maxime Macenauer\macenma01,Hockey,Center,2012,23,1
Melker Karlsson\karlsme01,Hockey,Center,2015,24,3
Michael Bournival\bournmi01,Hockey,Left Wing,2014,21,4
Michael Caruso\carusmi01,Hockey,Defense,2013,24,1
Michael Chaput\chapumi01,Hockey,Center,2014,21,4
Michael Del Zotto\delzomi01,Hockey,Defense,2010,19,8
Michael Frolik\frolimi01,Hockey,Center,2009,20,9
Michael Funk\funkmi01,Hockey,Defense,2007,20,2
Michael Grabner\grabnmi01,Hockey,Right Wing,2010,22,8
Michael Kapla\kaplami01,Hockey,Defense,2017,22,1
Michael Keränen\keranmi01,Hockey,Center,2016,26,1
Michael Latta\lattami01,Hockey,Center,2014,22,3
Michael Matheson\mathemi01,Hockey,Defense,2016,21,2
Michael McCarron\mccarmi01,Hockey,Right Wing,2016,20,2
Michael Mersch\merscmi01,Hockey,Left Wing,2016,23,1
Michael Paliotta\paliomi01,Hockey,Defense,2015,21,2
Evgeny Medvedev\medveev01,Hockey,Defense,2016,33,1
Michael Raffl\rafflmi01,Hockey,Left Wing,2014,25,4
Michael Ryan\ryanmi01,Hockey,Center,2007,26,3
Michael Sauer\sauermi01,Hockey,Defense,2009,21,4
Michael Sgarbossa\sgarbmi01,Hockey,Center,2013,20,5
Michael Stone\stonemi01,Hockey,Defense,2012,21,6
Michael Zalewski\zalewmi01,Hockey,Left Wing,2014,21,4
Michal Jordan\jordami01,Hockey,Defense,2013,22,4
Michal Kempny\kempnmi01,Hockey,Defense,2017,26,1
Michal Repik\repikmi01,Hockey,Right Wing,2009,20,4
Micheal Ferland\ferlami01,Hockey,Left Wing,2015,22,3
Micheal Haley\haleymi01,Hockey,Center,2010,23,8
Micki DuPont\duponmi01,Hockey,Defense,2007,26,2
Miikka Salomaki\salommi01,Hockey,Right Wing,2015,21,3
Mika Pyorala\pyorami01,Hockey,Center,2010,28,1
Mika Zibanejad\zibanmi01,Hockey,Center,2012,18,6
Mikael Backlund\backlmi01,Hockey,Center,2009,19,9
Mikael Granlund\granlmi01,Hockey,Center,2013,20,5
Mike Angelidis\angelmi01,Hockey,Center,2012,26,5
Mike Blunden\blundmi01,Hockey,Right Wing,2007,20,11
Mike Brown\brownmi02,Hockey,Right Wing,2008,22,9
Mike Card\cardmi01,Hockey,Defense,2007,20,1
Mike Connolly\connomi01,Hockey,Left Wing,2012,22,1
Mike Duco\ducomi01,Hockey,Left Wing,2010,22,3
Mike Halmo\halmomi01,Hockey,Left Wing,2014,22,1
Mike Hoffman\hoffmmi02,Hockey,Center,2012,22,6
Mike Iggulden\iggulmi01,Hockey,Center,2008,25,2
Mike Kostka\kostkmi01,Hockey,Defense,2013,27,4
Mike Liambas\liambmi01,Hockey,Left Wing,2017,27,1
Mike Lundin\lundimi01,Hockey,Defense,2008,23,6
Mike Moore\mooremi01,Hockey,Defense,2011,26,1
Mike Mottau\mottami01,Hockey,Defense,2008,29,7
Mike Reilly\reillmi01,Hockey,Defense,2016,22,2
Mike Santorelli\santomi01,Hockey,Center,2009,23,8
Mike Sislo\sislomi01,Hockey,Right Wing,2014,26,3
Mike Vecchione\vecchmi01,Hockey,Right Wing,2017,23,1
Mike Vernace\vernami01,Hockey,Defense,2009,22,3
Mike Weber\webermi01,Hockey,Defense,2008,20,9
Mikhail Grabovski\grabomi01,Hockey,Center,2007,23,10
Mikhail Grigorenko\grigomi01,Hockey,Center,2013,18,5
Mikhail Sergachev\sergami01,Hockey,Defense,2017,18,1
Mikkel Boedker\boedkmi01,Hockey,Left Wing,2009,19,9
Mikko Lehtonen\lehtomi01,Hockey,Defense,2007,28,1
Mikko Lehtonen\lehtomi02,Hockey,Right Wing,2009,21,2
Mikko Rantanen\rantami01,Hockey,Right Wing,2016,19,2
Milan Kytnar\kytnami01,Hockey,Center,2012,22,1
Milan Lucic\lucicmi01,Hockey,Left Wing,2008,19,10
Miles Wood\woodmi01,Hockey,Left Wing,2016,20,2
Mirco Mueller\muellmi01,Hockey,Defense,2015,19,3
Mitch Callahan\callami01,Hockey,Right Wing,2014,22,4
Mitch Fritz\fritzmi01,Hockey,Left Wing,2009,28,1
Mitch Marner\marnemi01,Hockey,Center,2017,19,1
Morgan Ellis\ellismo01,Hockey,Defense,2016,23,1
Morgan Rielly\riellmo01,Hockey,Defense,2014,19,4
Nail Yakupov\yakupna01,Hockey,Right Wing,2013,19,5
Nate Guenin\guenina01,Hockey,Defense,2007,24,10
Nate Prosser\prossna01,Hockey,Defense,2010,23,8
Nate Raduns\radunna01,Hockey,Center,2009,24,1
Nate Schmidt\schmina01,Hockey,Defense,2014,22,4
Nate Thompson\thompna01,Hockey,Center,2007,22,11
Nathan Beaulieu\beaulna01,Hockey,Defense,2013,20,5
Nathan Gerbe\gerbena01,Hockey,Center,2009,21,8
Nathan MacKinnon\mackina01,Hockey,Center,2014,18,4
Nathan McIver\mcivena01,Hockey,Defense,2007,22,3
Nathan Oystrick\oystrna01,Hockey,Defense,2009,26,3
Nazem Kadri\kadrina01,Hockey,Center,2010,19,8
Nelson Nogier\nogiene01,Hockey,Defense,2017,20,1
Nic Dowd\dowdni01,Hockey,Center,2016,25,2
Nic Petan\petanni01,Hockey,Left Wing,2016,20,2
Nicholas Baptiste\baptini01,Hockey,Right Wing,2017,21,1
Nicholas Petrecki\petreni01,Hockey,Defense,2013,23,1
Nick Bjugstad\bjugsni01,Hockey,Center,2013,20,5
Nick Bonino\boninni01,Hockey,Center,2010,21,8
Nick Cousins\cousini01,Hockey,Center,2015,21,3
Nick Drazenovic\drazeni01,Hockey,Center,2011,24,4
Nick Foligno\foligni01,Hockey,Left Wing,2008,20,10
Nick Holden\holdeni01,Hockey,Defense,2011,23,7
Nick Jensen\jenseni02,Hockey,Defense,2017,26,1
Nick Johnson\johnsni01,Hockey,Right Wing,2010,24,5
Nick Lappin\lappini01,Hockey,Right Wing,2017,24,1
Nick Leddy\leddyni01,Hockey,Defense,2011,19,7
Nick Palmieri\palmini01,Hockey,Right Wing,2010,20,3
Nick Paul\paulni01,Hockey,Left Wing,2016,20,2
Nick Ritchie\ritchni01,Hockey,Left Wing,2016,20,2
Nick Schmaltz\schmani01,Hockey,Left Wing,2017,20,1
Nick Shore\shoreni01,Hockey,Center,2015,22,3
Nick Sorensen\sorenni01,Hockey,Right Wing,2017,22,1
Nick Spaling\spalini01,Hockey,Center,2010,21,7
Nicklas Backstrom\backsni02,Hockey,Center,2008,20,10
Nicklas Grossmann\grossni01,Hockey,Defense,2007,22,11
Nicklas Jensen\jenseni01,Hockey,Left Wing,2013,19,5
Niclas Bergfors\bergfni01,Hockey,Right Wing,2008,20,5
Nicolas Blanchard\blancni01,Hockey,Center,2013,25,1
Nicolas Deschamps\deschni01,Hockey,Center,2014,24,1
Nicolas Deslauriers\deslani01,Hockey,Left Wing,2014,22,4
Nicolas Kerdiles\kerdini01,Hockey,Left Wing,2017,23,1
Nigel Dawes\dawesni01,Hockey,Left Wing,2007,21,5
Nikita Alexeev\alexeni01,Hockey,Right Wing,2007,25,1
Nikita Filatov\filatni01,Hockey,Left Wing,2009,18,4
Nikita Kucherov\kucheni01,Hockey,Right Wing,2014,20,4
Nikita Nesterov\nesteni01,Hockey,Defense,2015,21,3
Nikita Nikitin\nikitni01,Hockey,Defense,2011,24,6
Nikita Scherbak\scherni01,Hockey,Right Wing,2017,21,1
Nikita Soshnikov\soshnni01,Hockey,Right Wing,2016,22,2
Nikita Tryamkin\tryamni01,Hockey,Defense,2016,21,2
Nikita Zadorov\zadorni01,Hockey,Defense,2014,18,4
Nikita Zaitsev\zaitsni01,Hockey,Defense,2017,25,1
Niklas Hjalmarsson\hjalmni01,Hockey,Defense,2008,20,10
Nikolai Kulemin\kulemni01,Hockey,Left Wing,2009,22,9
Nikolaj Ehlers\ehlerni01,Hockey,Left Wing,2016,19,2
Nikolay Goldobin\goldoni01,Hockey,Left Wing,2016,20,2
Nino Niederreiter\niedeni01,Hockey,Right Wing,2011,18,7
Noah Hanifin\hanifno01,Hockey,Defense,2016,19,2
Noel Acciari\acciano01,Hockey,Center,2016,24,2
Oliver Bjorkstrand\bjorkol01,Hockey,Right Wing,2016,20,2
Oliver Ekman-Larsson\ekmanol01,Hockey,Defense,2011,19,7
Oliver Kylington\kylinol01,Hockey,Defense,2016,18,1
Oliver Lauridsen\lauriol01,Hockey,Defense,2013,23,3
Olivier Magnan\magnaol01,Hockey,Defense,2011,24,1
Olli Maatta\maattol01,Hockey,Defense,2014,19,4
Olli Malmivaara\malmiol01,Hockey,Defense,2008,25,1
Ondrej Kase\kaseon01,Hockey,Right Wing,2017,21,1
Ondrej Palat\palaton01,Hockey,Left Wing,2013,21,5
Oscar Klefbom\klefbos01,Hockey,Defense,2014,20,4
Oscar Lindberg\lindbos02,Hockey,Center,2015,23,3
Oscar Moller\molleos01,Hockey,Center,2009,20,3
Oskar Osala\osalaos01,Hockey,Left Wing,2009,21,2
Oskar Sundqvist\sundqos01,Hockey,Center,2016,21,2
Oskars Bartulis\bartuos01,Hockey,Defense,2010,23,2
Landon Wilson\wilsola02,Hockey,Right Wing,2009,33,1
P.A. Parenteau\parenpi01,Hockey,Left Wing,2007,23,11
P.K. Subban\subbapk01,Hockey,Defense,2010,20,8
Pascal Pelletier\pellepa01,Hockey,Left Wing,2008,24,7
Patric Hornqvist\hornqpa01,Hockey,Right Wing,2009,22,9
Patrice Cormier\cormipa01,Hockey,Center,2011,20,6
Patrick Bordeleau\bordepa02,Hockey,Left Wing,2013,26,3
Patrick Brown\brownpa02,Hockey,Center,2015,22,3
Patrick Cannone\cannopa01,Hockey,Center,2017,30,1
Patrick Coulombe\coulopa01,Hockey,Defense,2007,21,1
Patrick Davis\davispa01,Hockey,Left Wing,2009,22,2
Patrick Dwyer\dwyerpa01,Hockey,Right Wing,2009,25,7
Patrick Holland\hollapa01,Hockey,Right Wing,2014,22,1
Patrick Kaleta\kaletpa01,Hockey,Right Wing,2007,20,9
Patrick Kane\kanepa01,Hockey,Right Wing,2008,19,10
Patrick Maroon\maroopa01,Hockey,Left Wing,2012,23,6
Patrick O'Sullivan\osullpa01,Hockey,Center,2007,21,6
Patrick Sieloff\sielopa01,Hockey,Defense,2016,21,1
Patrick Thoresen\thorepa01,Hockey,Left Wing,2007,23,2
Patrick Wey\weypa01,Hockey,Defense,2014,22,1
Patrick Wiercioch\wiercpa01,Hockey,Defense,2011,20,7
Patrik Berglund\berglpa01,Hockey,Center,2009,20,9
Patrik Laine\lainepa01,Hockey,Right Wing,2017,18,1
Patrik Nemeth\nemetpa01,Hockey,Defense,2014,21,4
Paul Bissonnette\bissopa01,Hockey,Left Wing,2009,23,6
Paul Byron\byronpa01,Hockey,Center,2011,21,7
Paul Carey\careypa01,Hockey,Center,2014,25,4
Paul Ladue\laduepa01,Hockey,Defense,2017,24,1
Paul Postma\postmpa01,Hockey,Defense,2011,21,7
Paul Stastny\stastpa01,Hockey,Center,2007,21,11
Paul Szczechura\szczepa01,Hockey,Center,2009,23,4
Paul Thompson\thomppa02,Hockey,Right Wing,2016,27,2
Pavel Buchnevich\buchnpa01,Hockey,Right Wing,2017,21,1
Pavel Zacha\zachapa01,Hockey,Center,2016,18,2
Per Ledin\ledinpe01,Hockey,Left Wing,2009,30,1
Perttu Lindgren\lindgpe01,Hockey,Center,2010,22,1
Peter Cehlarik\cehlape01,Hockey,Left Wing,2017,21,1
Peter Harrold\harrope01,Hockey,Defense,2007,23,9
Peter Holland\hollape01,Hockey,Center,2012,21,6
Peter LeBlanc\leblape01,Hockey,Center,2014,25,1
Peter Mueller\muellpe01,Hockey,Center,2008,19,6
Peter Olvecky\olvecpe01,Hockey,Left Wing,2009,23,2
Peter Regin\reginpe01,Hockey,Center,2009,22,7
Petr Kalus\kaluspe01,Hockey,Right Wing,2007,19,4
Petr Straka\strakpe01,Hockey,Right Wing,2015,22,1
Petr Tenkrat\tenkrpe01,Hockey,Right Wing,2007,29,1
Petr Vrana\vranape01,Hockey,Center,2009,23,1
Petri Kontiola\kontipe01,Hockey,Center,2008,23,1
Petter Granberg\granbpe01,Hockey,Defense,2014,21,4
Petteri Lindbohm\lindbpe02,Hockey,Defense,2015,21,3
Petteri Wirtanen\wirtape01,Hockey,Center,2008,21,1
Phil Kessel\kesseph01,Hockey,Right Wing,2007,19,11
Phil Oreskovic\oreskph01,Hockey,Defense,2009,22,1
Phil Varone\varonph01,Hockey,Center,2014,23,4
Philip Larsen\larseph01,Hockey,Defense,2010,20,8
Philip McRae\mcraeph01,Hockey,Center,2011,20,1
Philip Samuelsson\samueph01,Hockey,Defense,2014,22,3
Philippe Cornet\corneph01,Hockey,Left Wing,2012,21,1
Philippe Dupuis\dupuiph01,Hockey,Center,2009,23,4
Phillip Danault\danauph01,Hockey,Center,2015,21,3
Phillip Di Giuseppe\digiuph01,Hockey,Left Wing,2016,22,2
Pierre-Cedric Labrie\labripi01,Hockey,Left Wing,2012,25,3
Pierre-Edouard Bellemare\bellepi01,Hockey,Left Wing,2015,29,3
Pierre-Luc Letourneau-Leblond\letoupi01,Hockey,Right Wing,2009,23,6
Pontus Aberg\abergpo01,Hockey,Left Wing,2017,23,1
Quintin Laing\laingqu01,Hockey,Left Wing,2008,28,3
Quinton Howden\howdequ01,Hockey,Center,2013,21,5
Radek Faksa\faksara01,Hockey,Center,2016,22,2
Radek Smolenak\smolera01,Hockey,Left Wing,2009,22,2
Radko Gudas\gudasra01,Hockey,Defense,2013,22,5
Raman Hrabarenka\hrabara01,Hockey,Defense,2015,22,1
Raphael Diaz\diazra01,Hockey,Defense,2012,26,4
Rasmus Andersson\anderra01,Hockey,Defense,2017,20,1
Rasmus Rissanen\rissara01,Hockey,Defense,2015,23,1
Rasmus Ristolainen\ristora01,Hockey,Defense,2014,19,4
Ray Macias\maciara01,Hockey,Defense,2009,22,3
Raymond Sawada\sawadra01,Hockey,Right Wing,2009,23,3
Reed Low\lowre01,Hockey,Right Wing,2007,30,1
Reid Boucher\bouchre01,Hockey,Center,2014,20,4
Reilly Smith\smithre01,Hockey,Right Wing,2012,20,6
Remi Elie\eliere01,Hockey,Left Wing,2017,21,1
Rhett Rakhshani\rakhsrh01,Hockey,Right Wing,2011,22,2
Rich Clune\cluneri01,Hockey,Left Wing,2010,22,7
Rich Peverley\peverri01,Hockey,Center,2007,24,8
Ville Peltonen\peltovi01,Hockey,Left Wing,2007,33,3
Richard Panik\panikri01,Hockey,Right Wing,2013,21,5
Rickard Rakell\rakelri01,Hockey,Center,2013,19,5
Rickard Wallin\walliri01,Hockey,Center,2010,29,1
Riley Armstrong\armstri01,Hockey,Right Wing,2009,24,1
Riley Barber\barberi01,Hockey,Right Wing,2017,22,1
Riley Cote\coteri01,Hockey,Left Wing,2007,24,4
Riley Nash\nashri02,Hockey,Center,2012,22,6
Riley Sheahan\sheahri01,Hockey,Center,2012,20,6
Rinat Valiev\valieri01,Hockey,Defense,2016,20,1
Rob Klinkhammer\klinkro01,Hockey,Center,2011,24,6
Rob O'Gara\ogararo01,Hockey,Defense,2017,23,1
Rob Schremp\schrero01,Hockey,Center,2007,20,5
Robbie Earl\earlro01,Hockey,Left Wing,2008,22,4
Robbie Russo\russoro01,Hockey,Defense,2017,23,1
Robby Fabbri\fabbrro01,Hockey,Center,2016,20,2
Robert Bortuzzo\borturo01,Hockey,Defense,2012,22,6
Robert Hagg\haggro01,Hockey,Defense,2017,21,1
Rocco Grimaldi\grimaro01,Hockey,Center,2015,21,3
Rod Pelley\pellero02,Hockey,Center,2007,22,6
Roman Cervenka\cervero01,Hockey,Center,2013,27,1
Roman Horak\horakro01,Hockey,Center,2012,20,3
Roman Josi\josiro01,Hockey,Defense,2012,21,6
Roman Lyubimov\lyubiro01,Hockey,Left Wing,2017,25,1
Roman Polak\polakro01,Hockey,Defense,2007,20,11
Roman Wick\wickro01,Hockey,Right Wing,2011,25,1
Ronalds Kenins\keninro01,Hockey,Left Wing,2015,23,2
Ross Johnston\johnsro02,Hockey,Left Wing,2016,21,1
Ryan Bayda\baydary01,Hockey,Left Wing,2007,26,3
Ryan Bourque\bourqry01,Hockey,Center,2015,24,1
Ryan Callahan\callary01,Hockey,Right Wing,2007,21,11
Ryan Carpenter\carpery01,Hockey,Center,2016,25,2
Ryan Carter\cartery01,Hockey,Center,2008,24,9
Ryan Dzingel\dzingry01,Hockey,Left Wing,2016,23,2
Ryan Ellis\ellisry01,Hockey,Defense,2012,21,6
Ryan Garbutt\garbury01,Hockey,Center,2012,26,6
Ryan Hamilton\hamilry01,Hockey,Left Wing,2012,26,4
Ryan Hartman\hartmry01,Hockey,Left Wing,2015,20,3
Ryan Johansen\johanry01,Hockey,Center,2012,19,6
Ryan Johnston\johnsry02,Hockey,Defense,2016,23,2
Ryan Jones\jonesry01,Hockey,Left Wing,2009,24,6
Ryan Keller\kellery01,Hockey,Right Wing,2010,26,1
Ryan McDonagh\mcdonry01,Hockey,Defense,2011,21,7
Ryan Murphy\murphry01,Hockey,Defense,2013,19,5
Ryan Murray\murrary01,Hockey,Defense,2014,20,4
Ryan Nugent-Hopkins\nugenry01,Hockey,Center,2012,18,6
Ryan O'Byrne\obyrnry01,Hockey,Defense,2008,23,6
Ryan O'Marra\omarrry01,Hockey,Center,2010,22,3
Ryan O'Reilly\oreilry01,Hockey,Center,2010,18,8
Ryan Parent\parenry01,Hockey,Defense,2007,19,5
Ryan Pulock\pulocry01,Hockey,Defense,2016,21,2
Ryan Reaves\reavery01,Hockey,Right Wing,2011,24,7
Ryan Russell\russery01,Hockey,Center,2012,24,1
Ryan Shannon\shannry01,Hockey,Right Wing,2007,23,6
Ryan Spooner\spoonry01,Hockey,Center,2013,21,5
Ryan Sproul\sproury01,Hockey,Defense,2014,21,4
Ryan Stanton\stantry01,Hockey,Defense,2013,23,4
Ryan Stoa\stoary01,Hockey,Center,2010,22,5
Ryan Stone\stonery01,Hockey,Center,2008,22,3
Ryan Strome\stromry01,Hockey,Center,2014,20,4
Ryan Thang\thangry01,Hockey,Left Wing,2012,24,1
Ryan Vesce\vescery01,Hockey,Right Wing,2009,26,2
Ryan White\whitery01,Hockey,Center,2010,21,8
Ryan Wilson\wilsory01,Hockey,Defense,2010,22,6
Sam Bennett\bennesa01,Hockey,Center,2015,18,3
Sam Carrick\carrisa01,Hockey,Center,2015,22,2
Sam Gagner\gagnesa01,Hockey,Center,2008,18,10
Sam Reinhart\reinhsa01,Hockey,Center,2015,19,3
Sami Lepisto\lepissa01,Hockey,Defense,2008,23,5
Sami Vatanen\vatansa01,Hockey,Defense,2013,21,5
Samuel Henley\henlesa01,Hockey,Center,2017,23,1
Samuel Morin\morinsa01,Hockey,Defense,2017,21,1
Scott Glennie\glennsc01,Hockey,Right Wing,2012,20,1
Scott Harrington\harrisc01,Hockey,Defense,2015,21,3
Scott Jackson\jackssc01,Hockey,Defense,2010,22,1
Scott Kosmachuk\kosmasc01,Hockey,Right Wing,2016,22,1
Scott Laughton\laughsc01,Hockey,Center,2013,18,5
Scott Lehman\lehmasc01,Hockey,Defense,2009,23,1
Scott Mayfield\mayfisc01,Hockey,Defense,2014,21,4
Scott Parse\parsesc01,Hockey,Center,2010,25,3
Scott Timmins\timmisc01,Hockey,Center,2011,21,3
Scott Wilson\wilsosc01,Hockey,Center,2015,22,3
Sean Bentivoglio\bentise01,Hockey,Left Wing,2009,23,1
Sean Collins\collise01,Hockey,Defense,2009,25,4
Sean Collins\collise02,Hockey,Center,2013,24,4
Sean Couturier\coutuse01,Hockey,Center,2012,19,6
Sean Kuraly\kuralse01,Hockey,Center,2017,24,1
Sean Malone\malonse01,Hockey,Center,2017,21,1
Sean Monahan\monahse01,Hockey,Center,2014,19,4
Sebastian Aho\ahose01,Hockey,Right Wing,2017,19,1
Sebastien Bisaillon\bisaise01,Hockey,Defense,2007,20,1
Sergei Kostitsyn\kostise01,Hockey,Left Wing,2008,20,6
Sergei Plotnikov\plotnse01,Hockey,Left Wing,2016,25,1
Sergei Shirokov\shirose01,Hockey,Left Wing,2010,23,2
Sergey Kalinin\kalinse01,Hockey,Center,2016,24,2
Sergey Tolchinsky\tolchse01,Hockey,Left Wing,2016,20,2
Seth Griffith\griffse01,Hockey,Center,2015,22,3
Seth Helgeson\helgese01,Hockey,Defense,2015,24,3
Seth Jones\jonesse01,Hockey,Defense,2014,19,4
Shane Harper\harpesh01,Hockey,Right Wing,2017,27,1
Shane O'Brien\obriesh01,Hockey,Defense,2007,23,9
Shane Prince\princsh01,Hockey,Left Wing,2015,22,3
Shane Sims\simssh01,Hockey,Defense,2011,22,1
Shaun Heshka\heshksh01,Hockey,Defense,2010,24,1
Shawn Belle\bellesh01,Hockey,Defense,2007,22,5
Shawn Lalonde\lalonsh01,Hockey,Defense,2013,22,1
Shawn Matthias\matthsh01,Hockey,Center,2008,19,10
Shay Stephenson\stephsh01,Hockey,Left Wing,2007,23,1
Shayne Gostisbehere\gostish01,Hockey,Defense,2015,21,3
Shea Theodore\theodsh01,Hockey,Defense,2016,20,2
Sheldon Brookbank\brooksh01,Hockey,Defense,2007,26,8
Simon Despres\desprsi01,Hockey,Defense,2012,20,6
Simon Moser\mosersi01,Hockey,Left Wing,2014,24,1
Slater Koekkoek\koekksl01,Hockey,Defense,2015,20,3
Slava Voynov\voynovi01,Hockey,Defense,2012,22,4
Sonny Milano\milanso01,Hockey,Left Wing,2016,19,2
Spencer Abbott\abbotsp01,Hockey,Left Wing,2014,25,4
Spencer Machacek\machasp01,Hockey,Right Wing,2009,20,4
Stanislav Chistov\chistst01,Hockey,Right Wing,2007,23,1
Stanislav Galiev\galiest01,Hockey,Right Wing,2015,23,2
Stefan Della Rovere\dellast01,Hockey,Left Wing,2011,20,1
Stefan Elliott\elliost01,Hockey,Defense,2012,21,5
Stefan Matteau\mattest02,Hockey,Center,2013,18,4
Stefan Meyer\meyerst01,Hockey,Left Wing,2008,22,4
Stefan Noesen\noesest01,Hockey,Right Wing,2015,21,3
Stephane Da Costa\dacosst01,Hockey,Center,2011,21,4
Stephen Gionta\giontst01,Hockey,Center,2011,27,7
Stephen Johns\johnsst03,Hockey,Defense,2016,23,2
Steve Downie\downist01,Hockey,Right Wing,2008,20,9
Steve MacIntyre\macinst01,Hockey,Left Wing,2009,28,5
Steve Pinizzotto\pinizst01,Hockey,Center,2013,28,3
Magnus Johansson\johanma01,Hockey,Defense,2008,34,1
Steve Wagner\wagnest01,Hockey,Defense,2008,23,2
Steven Kampfer\kampfst01,Hockey,Defense,2011,22,7
Steven Oleksy\oleksst01,Hockey,Defense,2013,26,5
Steven Santini\santist01,Hockey,Defense,2016,20,2
Steven Stamkos\stamkst01,Hockey,Center,2009,18,9
Steven Zalewski\zalewst01,Hockey,Center,2010,23,3
