player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Radim Vrbata\vrbatra01,RW,0,0,0,1,2006,24,12,2017,35
Radko Gudas\gudasra01,D,0,1,0,0,2013,22,5,2017,26
Radoslav Suchy\suchyra01,D,0,1,0,0,2006,29,1,2006,29
Raffi Torres\torrera01,LW,0,0,1,0,2006,24,9,2014,32
Raitis Ivanans\ivanara01,D,0,1,0,0,2006,27,7,2012,33
Raman Hrabarenka\hrabara01,D,0,1,0,0,2015,22,1,2015,22
Ramzi Abid\abidra01,LW,0,0,1,0,2006,25,2,2009,26
Randy Jones\jonesra01,D,0,1,0,0,2006,24,7,2012,30
Randy Robitaille\robitra01,C,1,0,0,0,2006,30,3,2009,32
Raphael Diaz\diazra01,D,0,1,0,0,2012,26,4,2015,29
Rasmus Andersson\anderra01,D,0,1,0,0,2017,20,1,2017,20
Rasmus Rissanen\rissara01,D,0,1,0,0,2015,23,1,2015,23
Rasmus Ristolainen\ristora01,D,0,1,0,0,2014,19,4,2017,22
Ray Macias\maciara01,D,0,1,0,0,2009,22,3,2011,24
Ray Whitney\whitnra01,LW,0,0,1,0,2006,33,9,2014,41
Raymond Sawada\sawadra01,RW,0,0,0,1,2009,23,3,2011,25
Reed Low\lowre01,RW,0,0,0,1,2007,30,1,2009,30
Reid Boucher\bouchre01,C,1,0,0,0,2014,20,4,2017,23
Reilly Smith\smithre01,RW,0,0,0,1,2012,20,6,2017,25
Rem Murray\murrare01,C,1,0,0,0,2006,33,1,2006,33
Remi Elie\eliere01,LW,0,0,1,0,2017,21,1,2017,21
Rene Bourque\bourqre01,LW,0,0,1,0,2006,24,12,2017,35
Rhett Rakhshani\rakhsrh01,RW,0,0,0,1,2011,22,2,2012,23
Rhett Warrener\warrerh01,D,0,1,0,0,2006,30,3,2009,32
Ric Jackman\jackmri01,D,0,1,0,0,2006,27,2,2009,28
Rich Clune\cluneri01,LW,0,0,1,0,2010,22,7,2016,28
Rich Peverley\peverri01,C,1,0,0,0,2007,24,8,2014,31
Richard Matvichuk\matviri01,D,0,1,0,0,2006,32,2,2009,33
Richard Panik\panikri01,RW,0,0,0,1,2013,21,5,2017,25
Richard Park\parkri01,C,1,0,0,0,2006,29,7,2012,35
Richard Petiot\petiori01,D,0,1,0,0,2006,23,6,2011,28
Richard Zednik\zedniri01,LW,0,0,1,0,2006,30,4,2009,33
Richie Regehr\regehri01,D,0,1,0,0,2006,23,2,2009,24
Rick Nash\nashri01,LW,0,0,1,0,2006,21,12,2017,32
Rick Rypien\rypieri01,C,1,0,0,0,2006,21,6,2011,26
Rickard Rakell\rakelri01,C,1,0,0,0,2013,19,5,2017,23
Rickard Wallin\walliri01,C,1,0,0,0,2010,29,1,2010,29
Rico Fata\fatari01,LW,0,0,1,0,2006,25,2,2009,26
Riley Armstrong\armstri01,RW,0,0,0,1,2009,24,1,2009,24
Riley Barber\barberi01,RW,0,0,0,1,2017,22,1,2017,22
