player_ID,sport,position,start_year,start_age,years_played
Quinn Cook,NBA,2,2017,26,2
Duane Cooper,NBA,2,1993,29,2
Michael Cooper,NBA,0,1979,24,12
Wayne Cooper,NBA,0,1979,14,14
Tom Copa,NBA,1,1992,30,1
Chris Copeland,NBA,3,2013,45,4
Hollis Copeland,NBA,3,1980,52,3
Lanard Copeland,NBA,2,1990,34,3
Ray Corley,NBA,2,1950,26,4
Mel Counts,NBA,0,1965,37,12
Joe Courtney,NBA,3,1993,45,5
Marcus Cousin,NBA,1,2011,56,1
Robert Covington,NBA,3,2014,22,5
Johnny Cox,NBA,2,1963,22,1
Allen Crabbe,NBA,0,2014,28,5
Torrey Craig,NBA,0,2018,30,1
Chris Crawford,NBA,3,1998,48,7
Joe Crawford,NBA,3,2009,30,1
Jim Creighton,NBA,3,1976,30,1
Ron Crevier,NBA,1,1986,21,1
Charlie Criss,NBA,2,1978,32,8
Winston Crite,NBA,3,1988,31,2
Javaris Crittenton,NBA,2,2008,33,2
Bobby Croft,NBA,1,1971,23,1
Geoff Crompton,NBA,1,1979,18,6
Terry Crosby,NBA,2,1980,57,1
Austin Croshere,NBA,3,1998,29,12
Jeff Cross,NBA,3,1986,46,1
Pete Cross,NBA,0,1971,17,3
John Crotty,NBA,2,1993,47,11
Corey Crowder,NBA,0,1992,16,4
Pat Cummings,NBA,0,1980,34,12
Vonteego Cummings,NBA,2,2000,26,3
Jared Cunningham,NBA,2,2013,41,4
Radisav Curcic,NBA,1,1993,29,1
Bill Curley,NBA,3,1995,27,7
Eddy Curry,NBA,1,2002,32,12
JamesOn Curry,NBA,2,2010,59,1
Stephen Curry,NBA,2,2010,49,9
Mike D'Antoni,NBA,2,1974,52,4
Quintin Dailey,NBA,2,1983,36,10
Samuel Dalembert,NBA,1,2002,27,14
Erick Dampier,NBA,1,1997,30,16
Bob Dandridge,NBA,0,1970,26,13
Antonio Daniels,NBA,2,1998,7,14
Erik Daniels,NBA,3,2005,35,1
Lloyd Daniels,NBA,2,1993,37,6
Mel Daniels,NBA,1,1968,46,10
Sasha Danilovic,NBA,2,1996,24,2
Adrian Dantley,NBA,0,1977,26,15
Yinka Dare,NBA,1,1995,30,4
Jimmy Darrow,NBA,2,1962,42,1
Luigi Datome,NBA,3,2014,23,2
Jermareo Davidson,NBA,3,2008,29,2
Antonio Davis,NBA,0,1994,39,13
Baron Davis,NBA,2,2000,42,13
Ben Davis,NBA,3,1997,48,4
Brad Davis,NBA,2,1978,29,15
Charles Davis,NBA,3,1982,14,9
Dale Davis,NBA,0,1992,36,16
Deyonta Davis,NBA,0,2017,47,2
Dwight Davis,NBA,3,1973,32,5
Emanual Davis,NBA,2,1997,17,7
Hubert Davis,NBA,2,1993,20,12
Jim Davis,NBA,0,1968,18,8
Johnny Davis,NBA,2,1977,27,10
Lee Davis,NBA,0,1969,13,8
Mark Davis,NBA,0,1989,31,1
Mel Davis,NBA,3,1974,36,4
Mickey Davis,NBA,0,1972,40,6
Mike Davis,NBA,3,1983,29,1
Terry Davis,NBA,0,1990,33,12
Walter Davis,NBA,0,1978,21,15
Darryl Dawkins,NBA,1,1976,9,14
Johnny Dawkins,NBA,2,1987,17,9
Branden Dawson,NBA,3,2016,56,1
Eric Dawson,NBA,3,2012,25,1
Tony Dawson,NBA,3,1991,45,5
Austin Daye,NBA,3,2010,37,6
Greg Deane,NBA,2,1980,44,1
Dave DeBusschere,NBA,0,1963,39,12
Dewayne Dedmon,NBA,1,2014,20,5
Terry Dehere,NBA,2,1994,25,6
Bryce Dejean-Jones,NBA,2,2016,42,1
Sam Dekker,NBA,3,2016,26,3
Malcolm Delaney,NBA,2,2017,51,2
Bison Dele,NBA,0,1992,35,8
Carlos Delfino,NBA,2,2005,35,9
Matthew Dellavedova,NBA,2,2014,29,5
Fennis Dembo,NBA,3,1989,59,1
Dell Demps,NBA,2,1994,45,4
Randy Denton,NBA,1,1972,50,6
DeMar DeRozan,NBA,0,2010,28,9
Derrick Dial,NBA,2,2000,22,5
Boris Diaw,NBA,0,2004,29,14
Yakhouba Diawara,NBA,0,2007,56,4
Guillermo Diaz,NBA,2,2008,57,1
Clyde Dickey,NBA,2,1975,39,1
Derrek Dickey,NBA,3,1974,26,5
John Dickson,NBA,1,1968,24,1
Connie Dierking,NBA,0,1959,42,13
Coby Dietrick,NBA,0,1971,47,13
Dwaine Dillard,NBA,3,1976,33,1
Byron Dinkins,NBA,2,1990,50,2
Jackie Dinkins,NBA,3,1972,43,1
Spencer Dinwiddie,NBA,2,2015,48,4
DeSagana Diop,NBA,1,2002,25,12
Terry Dischinger,NBA,0,1963,36,11
Fred Diute,NBA,2,1955,36,1
Vlade Divac,NBA,1,1990,33,16
Aleksandar Djordjevic,NBA,2,1997,32,1
Earl Dodd,NBA,3,1950,24,1
Michael Doleac,NBA,1,1999,19,10
James Donaldson,NBA,1,1981,33,15
Keyon Dooling,NBA,2,2001,37,13
Jacky Dorsey,NBA,3,1978,22,4
Tyler Dorsey,NBA,2,2018,32,1
Damyean Dotson,NBA,2,2018,31,1
Bruce Douglas,NBA,2,1987,38,1
Sherman Douglas,NBA,2,1990,40,12
Chris Douglas-Roberts,NBA,2,2009,43,7
Zabian Dowdell,NBA,2,2011,49,1
Steve Downing,NBA,1,1974,20,2
Goran Dragic,NBA,2,2009,47,10
Zoran Dragic,NBA,0,2015,42,1
Greg Dreiling,NBA,1,1987,40,11
Bryce Drew,NBA,2,1999,24,6
John Drew,NBA,0,1975,21,11
Clyde Drexler,NBA,2,1984,20,15
Nate Driggers,NBA,2,1997,47,1
Predrag Drobnjak,NBA,1,2002,17,4
Ralph Drollinger,NBA,1,1981,25,1
Jared Dudley,NBA,0,2008,45,11
Bob Duffy,NBA,2,1963,41,3
Chris Duhon,NBA,2,2005,29,9
Richard Dumas,NBA,3,1993,38,4
Tim Duncan,NBA,0,1998,40,19
Mike Dunleavy,NBA,2,1977,28,14
Mike Dunleavy,NBA,0,2003,36,15
Kris Dunn,NBA,2,2017,57,2
T.R. Dunn,NBA,0,1978,26,14
Kevin Durant,NBA,0,2008,49,11
John Duren,NBA,2,1981,51,3
Pat Durham,NBA,3,1993,27,3
Devin Durrant,NBA,3,1985,39,2
Dennis DuVal,NBA,2,1975,48,2
Craig Dykema,NBA,3,1982,39,1
Jerome Dyson,NBA,2,2012,53,1
Jim Eakins,NBA,1,1969,34,10
Acie Earl,NBA,0,1994,42,4
Mark Eaton,NBA,1,1983,16,11
Devin Ebanks,NBA,3,2011,49,3
Al Eberhard,NBA,3,1975,34,4
Ndudi Ebi,NBA,3,2004,44,2
Jarell Eddie,NBA,0,2016,45,2
Patrick Eddie,NBA,1,1992,27,1
Tyus Edney,NBA,2,1996,15,6
Bill Edwards,NBA,3,1994,29,1
James Edwards,NBA,0,1978,17,19
Jay Edwards,NBA,2,1990,57,1
John Edwards,NBA,1,2005,33,2
Kevin Edwards,NBA,2,1989,14,13
Shane Edwards,NBA,3,2014,35,1
Johnny Egan,NBA,2,1962,44,11
Bulbs Ehlers,NBA,0,1948,26,2
Howard Eisley,NBA,2,1995,40,12
Obinna Ekezie,NBA,0,2000,32,6
Khalid El-Amin,NBA,2,2001,47,1
Mario Elie,NBA,0,1991,31,11
Wayne Ellington,NBA,2,2010,40,9
Dale Ellis,NBA,0,1984,32,17
Harold Ellis,NBA,2,1994,18,5
Joe Ellis,NBA,0,1967,15,8
LaPhonso Ellis,NBA,3,1993,15,11
Leroy Ellis,NBA,0,1963,26,14
Monta Ellis,NBA,2,2006,24,12
Len Elmore,NBA,0,1975,16,10
Francisco Elson,NBA,1,2004,38,9
Andre Emmett,NBA,3,2005,17,8
Alex English,NBA,3,1977,21,15
Scott English,NBA,3,1973,23,3
Tyler Ennis,NBA,2,2015,46,4
Ray Epps,NBA,3,1979,32,1
Keith Erickson,NBA,0,1966,11,12
Vincenzo Esposito,NBA,2,1996,41,1
Jawun Evans,NBA,2,2018,34,1
Jeremy Evans,NBA,3,2011,16,6
Maurice Evans,NBA,2,2002,13,11
Patrick Ewing,NBA,3,2011,22,1
Christian Eyenga,NBA,3,2011,25,2
Festus Ezeli,NBA,1,2013,32,4
Phil Farbman,NBA,3,1949,28,1
Kenneth Faried,NBA,3,2012,24,7
Jordan Farmar,NBA,2,2007,22,11
Tony Farmer,NBA,3,1998,24,3
Derrick Favors,NBA,0,2011,49,8
George Feigenbaum,NBA,2,1950,21,4
Kay Felder,NBA,2,2017,40,2
Cristiano Felicio,NBA,0,2016,18,3
Carrick Felix,NBA,2,2014,29,1
Noel Felix,NBA,3,2006,53,1
Ray Felix,NBA,1,1954,21,9
Raymond Felton,NBA,2,2006,42,13
Rudy Fernandez,NBA,2,2009,43,4
Rolando Ferreira,NBA,1,1989,27,1
Kyrylo Fesenko,NBA,1,2008,35,5
Bobby Fields,NBA,2,1972,44,1
Landry Fields,NBA,3,2011,42,5
Greg Fillmore,NBA,1,1971,23,2
Hank Finkel,NBA,1,1967,44,9
Matt Fish,NBA,1,1995,41,3
Gerald Fitch,NBA,2,2006,25,1
Al Fleming,NBA,3,1978,25,1
Ed Fleming,NBA,0,1956,17,5
Vern Fleming,NBA,2,1985,10,12
Luis Flores,NBA,2,2005,57,1
Jonny Flynn,NBA,2,2010,25,3
Isaac Fontaine,NBA,2,2002,53,1
Levi Fontaine,NBA,2,1971,19,1
Gary Forbes,NBA,3,2011,29,2
Alphonso Ford,NBA,2,1994,22,2
Alton Ford,NBA,3,2002,19,3
Bob Ford,NBA,3,1973,47,1
Chris Ford,NBA,0,1973,19,10
Sherell Ford,NBA,3,1996,28,1
T.J. Ford,NBA,2,2004,27,9
Bayard Forrest,NBA,1,1978,18,2
Joseph Forte,NBA,2,2002,21,2
Courtney Fortson,NBA,2,2012,20,1
Fred Foster,NBA,3,1969,29,9
Jeff Foster,NBA,0,2000,24,13
Rod Foster,NBA,2,1984,35,3
Antonis Fotsis,NBA,3,2002,59,1
Evan Fournier,NBA,0,2013,44,6
Tremaine Fowlkes,NBA,3,2002,25,4
De'Aaron Fox,NBA,2,2018,53,1
Rick Fox,NBA,0,1992,43,13
Adonal Foyle,NBA,1,1998,8,12
