,player_ID,sport,position,retire_year,retire_age,years_played
443,Mike Bratz,NBA,2,1986,16,9
445,Tim Breaux,NBA,3,1998,62,4
446,J.R. Bremer,NBA,2,2004,74,2
449,Randy Breuer,NBA,1,1994,14,11
450,Corey Brewer,NBA,0,2018,67,11
451,Jamison Brewer,NBA,2,2005,50,4
453,Ron Brewer,NBA,2,1986,7,8
454,Ronnie Brewer,NBA,0,2014,91,8
455,Primoz Brezec,NBA,1,2010,51,9
456,Frankie Brian,NBA,2,1956,3,7
457,Frank Brickowski,NBA,0,1997,58,13
458,Junior Bridgeman,NBA,0,1987,64,12
459,Bill Bridges,NBA,0,1975,52,13
460,Al Brightman,NBA,3,1947,0,1
462,John Brisker,NBA,0,1975,31,6
463,Allan Bristow,NBA,0,1983,31,10
464,Tyrone Britt,NBA,2,1968,5,1
465,Wayman Britt,NBA,2,1978,20,1
466,Mike Brittain,NBA,1,1987,0,2
467,Dave Britton,NBA,2,1981,23,1
468,Jon Brockman,NBA,3,2012,20,3
469,Jim Brogan,NBA,2,1983,29,2
470,Malcolm Brogdon,NBA,2,2018,98,2
474,Aaron Brooks,NBA,2,2018,29,11
475,Dillon Brooks,NBA,0,2018,60,1
476,Kevin Brooks,NBA,3,1994,29,3
477,MarShon Brooks,NBA,0,2014,33,3
479,Scott Brooks,NBA,2,1998,75,10
480,Andre Brown,NBA,3,2009,25,3
481,Anthony Brown,NBA,0,2017,49,2
483,Bobby Brown,NBA,2,2018,95,10
484,Chucky Brown,NBA,3,2002,34,13
485,Damone Brown,NBA,3,2005,21,4
487,Dee Brown,NBA,2,2002,24,12
488,Dee Brown,NBA,2,2009,30,3
489,Derrick Brown,NBA,3,2012,64,3
490,Devin Brown,NBA,2,2010,75,8
491,Ernest Brown,NBA,1,2002,27,1
492,Fred Brown,NBA,2,1984,61,13
494,Gerald Brown,NBA,2,1999,3,1
496,Jabari Brown,NBA,2,2015,34,1
497,Jaylen Brown,NBA,0,2018,36,2
498,John Brown,NBA,3,1980,40,7
499,Kedrick Brown,NBA,2,2005,86,4
500,Kwame Brown,NBA,3,2013,58,12
504,Lorenzo Brown,NBA,2,2018,55,5
505,Marcus Brown,NBA,2,2000,31,4
506,Markel Brown,NBA,2,2016,47,2
507,Mike Brown,NBA,0,1997,29,11
508,Myron Brown,NBA,2,1992,27,1
509,P.J. Brown,NBA,0,2008,50,15
510,Randy Brown,NBA,2,2003,61,12
511,Raymond Brown,NBA,3,1990,40,1
512,Rickey Brown,NBA,0,1985,0,5
513,Roger Brown,NBA,0,1975,46,8
515,Shannon Brown,NBA,2,2015,36,9
517,Sterling Brown,NBA,2,2018,88,1
518,Tierre Brown,NBA,2,2005,38,4
519,Tony Brown,NBA,0,1992,47,8
520,Jim Browne,NBA,1,1950,4,2
521,Stanley Brundy,NBA,3,1990,18,1
523,George Bruns,NBA,2,1973,35,1
524,Rick Brunson,NBA,2,2006,52,9
525,Nicolas Brussino,NBA,0,2018,40,2
526,Em Bryant,NBA,2,1972,7,8
528,Kobe Bryant,NBA,0,2016,57,20
529,Mark Bryant,NBA,0,2003,39,15
530,Thomas Bryant,NBA,1,2018,65,1
531,Wallace Bryant,NBA,1,1986,49,3
532,Torgeir Bryn,NBA,1,1990,24,1
533,George Bucci,NBA,2,1976,38,1
535,Steve Bucknall,NBA,2,1990,36,1
536,Cleveland Buckner,NBA,0,1963,25,2
537,Greg Buckner,NBA,2,2009,21,10
538,Quinn Buckner,NBA,2,1986,61,10
540,Chase Budinger,NBA,3,2016,39,7
542,Jud Buechler,NBA,0,2002,11,12
543,Rodney Buford,NBA,0,2005,60,6
544,Matt Bullard,NBA,3,2002,46,12
545,Reggie Bullock,NBA,0,2018,88,5
546,Larry Bunce,NBA,1,1969,27,2
547,Greg Bunch,NBA,3,1979,32,1
548,Dick Bunt,NBA,2,1953,0,1
